"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2018","Total","Male","21","Estimate - de jure","Final figure, complete","2019","310714",""
"Italy","2018","Total","Male","22","Estimate - de jure","Final figure, complete","2019","309184",""
"Italy","2018","Total","Male","23","Estimate - de jure","Final figure, complete","2019","311367",""
"Italy","2018","Total","Male","24","Estimate - de jure","Final figure, complete","2019","316012",""
"Italy","2018","Total","Male","25","Estimate - de jure","Final figure, complete","2019","328956",""
"Italy","2018","Total","Male","25 - 29","Estimate - de jure","Final figure, complete","2019","1661411",""
"Italy","2018","Total","Male","26","Estimate - de jure","Final figure, complete","2019","327291",""
"Italy","2018","Total","Male","27","Estimate - de jure","Final figure, complete","2019","334280",""
"Italy","2018","Total","Male","28","Estimate - de jure","Final figure, complete","2019","331451",""
"Italy","2018","Total","Male","29","Estimate - de jure","Final figure, complete","2019","339433",""
"Italy","2018","Total","Male","30","Estimate - de jure","Final figure, complete","2019","331716",""
"Italy","2018","Total","Male","30 - 34","Estimate - de jure","Final figure, complete","2019","1712078",""
"Italy","2018","Total","Male","31","Estimate - de jure","Final figure, complete","2019","333505",""
"Italy","2018","Total","Male","32","Estimate - de jure","Final figure, complete","2019","343089",""
"Italy","2018","Total","Male","33","Estimate - de jure","Final figure, complete","2019","348786",""
"Italy","2018","Total","Male","34","Estimate - de jure","Final figure, complete","2019","354982",""
"Italy","2018","Total","Male","35","Estimate - de jure","Final figure, complete","2019","366103",""
"Italy","2018","Total","Male","35 - 39","Estimate - de jure","Final figure, complete","2019","1911532",""
"Italy","2018","Total","Male","36","Estimate - de jure","Final figure, complete","2019","368157",""
"Italy","2018","Total","Male","37","Estimate - de jure","Final figure, complete","2019","378832",""
"Italy","2018","Total","Male","38","Estimate - de jure","Final figure, complete","2019","388709",""
"Italy","2018","Total","Male","39","Estimate - de jure","Final figure, complete","2019","409731",""
"Italy","2018","Total","Male","40","Estimate - de jure","Final figure, complete","2019","421794",""
"Italy","2018","Total","Male","40 - 44","Estimate - de jure","Final figure, complete","2019","2272240",""
"Italy","2018","Total","Male","41","Estimate - de jure","Final figure, complete","2019","439706",""
"Italy","2018","Total","Male","42","Estimate - de jure","Final figure, complete","2019","459573",""
"Italy","2018","Total","Male","43","Estimate - de jure","Final figure, complete","2019","477596",""
"Italy","2018","Total","Male","44","Estimate - de jure","Final figure, complete","2019","473571",""
"Italy","2018","Total","Male","45","Estimate - de jure","Final figure, complete","2019","478724",""
"Italy","2018","Total","Male","45 - 49","Estimate - de jure","Final figure, complete","2019","2410831",""
"Italy","2018","Total","Male","46","Estimate - de jure","Final figure, complete","2019","480929",""
"Italy","2018","Total","Male","47","Estimate - de jure","Final figure, complete","2019","477040",""
"Italy","2018","Total","Male","48","Estimate - de jure","Final figure, complete","2019","489221",""
"Italy","2018","Total","Male","49","Estimate - de jure","Final figure, complete","2019","484917",""
"Italy","2018","Total","Male","50","Estimate - de jure","Final figure, complete","2019","484924",""
"Italy","2018","Total","Male","50 - 54","Estimate - de jure","Final figure, complete","2019","2418760",""
"Italy","2018","Total","Male","51","Estimate - de jure","Final figure, complete","2019","490717",""
"Italy","2018","Total","Male","52","Estimate - de jure","Final figure, complete","2019","488942",""
"Italy","2018","Total","Male","53","Estimate - de jure","Final figure, complete","2019","493740",""
"Italy","2018","Total","Male","54","Estimate - de jure","Final figure, complete","2019","460437",""
"Italy","2018","Total","Male","55","Estimate - de jure","Final figure, complete","2019","443252",""
"Italy","2018","Total","Male","55 - 59","Estimate - de jure","Final figure, complete","2019","2088029",""
"Italy","2018","Total","Male","56","Estimate - de jure","Final figure, complete","2019","432643",""
"Italy","2018","Total","Male","57","Estimate - de jure","Final figure, complete","2019","418224",""
"Italy","2018","Total","Male","58","Estimate - de jure","Final figure, complete","2019","407178",""
"Italy","2018","Total","Male","59","Estimate - de jure","Final figure, complete","2019","386732",""
"Italy","2018","Total","Male","60","Estimate - de jure","Final figure, complete","2019","382121",""
"Italy","2018","Total","Male","60 - 64","Estimate - de jure","Final figure, complete","2019","1817151",""
"Italy","2018","Total","Male","61","Estimate - de jure","Final figure, complete","2019","373051",""
"Italy","2018","Total","Male","62","Estimate - de jure","Final figure, complete","2019","364613",""
"Italy","2018","Total","Male","63","Estimate - de jure","Final figure, complete","2019","356924",""
"Italy","2018","Total","Male","64","Estimate - de jure","Final figure, complete","2019","340442",""
"Italy","2018","Total","Male","65","Estimate - de jure","Final figure, complete","2019","332626",""
"Italy","2018","Total","Male","65 - 69","Estimate - de jure","Final figure, complete","2019","1694005",""
"Italy","2018","Total","Male","66","Estimate - de jure","Final figure, complete","2019","329961",""
"Italy","2018","Total","Male","67","Estimate - de jure","Final figure, complete","2019","340322",""
"Italy","2018","Total","Male","68","Estimate - de jure","Final figure, complete","2019","339984",""
"Italy","2018","Total","Male","69","Estimate - de jure","Final figure, complete","2019","351112",""
"Italy","2018","Total","Male","70","Estimate - de jure","Final figure, complete","2019","340601",""
"Italy","2018","Total","Male","70 - 74","Estimate - de jure","Final figure, complete","2019","1445309",""
"Italy","2018","Total","Male","71","Estimate - de jure","Final figure, complete","2019","335976",""
"Italy","2018","Total","Male","72","Estimate - de jure","Final figure, complete","2019","255513",""
"Italy","2018","Total","Male","73","Estimate - de jure","Final figure, complete","2019","258527",""
"Italy","2018","Total","Male","74","Estimate - de jure","Final figure, complete","2019","254692",""
"Italy","2018","Total","Male","75","Estimate - de jure","Final figure, complete","2019","248220",""
"Italy","2018","Total","Male","75 - 79","Estimate - de jure","Final figure, complete","2019","1235415",""
"Italy","2018","Total","Male","76","Estimate - de jure","Final figure, complete","2019","243572",""
"Italy","2018","Total","Male","77","Estimate - de jure","Final figure, complete","2019","260867",""
"Italy","2018","Total","Male","78","Estimate - de jure","Final figure, complete","2019","249895",""
"Italy","2018","Total","Male","79","Estimate - de jure","Final figure, complete","2019","232861",""
"Italy","2018","Total","Male","80","Estimate - de jure","Final figure, complete","2019","206236",""
"Italy","2018","Total","Male","80 - 84","Estimate - de jure","Final figure, complete","2019","864324",""
"Italy","2018","Total","Male","81","Estimate - de jure","Final figure, complete","2019","182479",""
"Italy","2018","Total","Male","82","Estimate - de jure","Final figure, complete","2019","175837",""
"Italy","2018","Total","Male","83","Estimate - de jure","Final figure, complete","2019","158206",""
"Italy","2018","Total","Male","84","Estimate - de jure","Final figure, complete","2019","141566",""
"Italy","2018","Total","Male","85","Estimate - de jure","Final figure, complete","2019","123588",""
"Italy","2018","Total","Male","85 - 89","Estimate - de jure","Final figure, complete","2019","477962",""
"Italy","2018","Total","Male","86","Estimate - de jure","Final figure, complete","2019","110774",""
"Italy","2018","Total","Male","87","Estimate - de jure","Final figure, complete","2019","99856",""
"Italy","2018","Total","Male","88","Estimate - de jure","Final figure, complete","2019","78972",""
"Italy","2018","Total","Male","89","Estimate - de jure","Final figure, complete","2019","64772",""
"Italy","2018","Total","Male","90","Estimate - de jure","Final figure, complete","2019","52515",""
"Italy","2018","Total","Male","90 - 94","Estimate - de jure","Final figure, complete","2019","165598",""
"Italy","2018","Total","Male","91","Estimate - de jure","Final figure, complete","2019","40632",""
"Italy","2018","Total","Male","92","Estimate - de jure","Final figure, complete","2019","31097",""
"Italy","2018","Total","Male","93","Estimate - de jure","Final figure, complete","2019","23572",""
"Italy","2018","Total","Male","94","Estimate - de jure","Final figure, complete","2019","17782",""
"Italy","2018","Total","Male","95","Estimate - de jure","Final figure, complete","2019","12349",""
"Italy","2018","Total","Male","95 - 99","Estimate - de jure","Final figure, complete","2019","30668",""
"Italy","2018","Total","Male","96","Estimate - de jure","Final figure, complete","2019","8632",""
"Italy","2018","Total","Male","97","Estimate - de jure","Final figure, complete","2019","5797",""
"Italy","2018","Total","Male","98","Estimate - de jure","Final figure, complete","2019","2561",""
"Italy","2018","Total","Male","99","Estimate - de jure","Final figure, complete","2019","1329",""
"Italy","2018","Total","Male","100","Estimate - de jure","Final figure, complete","2019","861",""
"Italy","2018","Total","Male","100 - 104","Estimate - de jure","Final figure, complete","2019","2422",""
"Italy","2018","Total","Male","101","Estimate - de jure","Final figure, complete","2019","657",""
"Italy","2018","Total","Male","102","Estimate - de jure","Final figure, complete","2019","482",""
"Italy","2018","Total","Male","103","Estimate - de jure","Final figure, complete","2019","287",""
"Italy","2018","Total","Male","104","Estimate - de jure","Final figure, complete","2019","135",""
"Italy","2018","Total","Male","105","Estimate - de jure","Final figure, complete","2019","76",""
"Italy","2018","Total","Male","105 - 109","Estimate - de jure","Final figure, complete","2019","132",""
"Italy","2018","Total","Male","106","Estimate - de jure","Final figure, complete","2019","32",""
"Italy","2018","Total","Male","107","Estimate - de jure","Final figure, complete","2019","7",""
"Italy","2018","Total","Male","108","Estimate - de jure","Final figure, complete","2019","9",""
"Italy","2018","Total","Male","109","Estimate - de jure","Final figure, complete","2019","8",""
"Italy","2018","Total","Male","110 +","Estimate - de jure","Final figure, complete","2019","3",""
"Italy","2018","Total","Female","Total","Estimate - de jure","Final figure, complete","2019","31056366",""
