"";"date";"country";"state";"city";"ibgeID";"newDeaths";"deaths";"newCases";"totalCases";"deaths_per_100k_inhabitants";"totalCases_per_100k_inhabitants";"deaths_by_totalCases";"X_source";"is_last";"day1_death";"day_10death";"day_5death";"day1_case";"day_100cases";"day_10cases";"day_25cases";"day_50cases";"day_75cases"
"118";2020-06-04;"Brazil";"CE";"Morrinhos/CE";2308906;0;6;0;139;26,62643;616,84566;0,04317;"SES";TRUE;18398;0;15;18386;26;4;10;14;26
"119";2020-06-04;"Brazil";"CE";"Mucambo/CE";2309003;0;1;0;114;6,879;784,20582;0,00877;"SES";TRUE;18397;0;0;18382;30;7;14;22;30
"120";2020-06-04;"Brazil";"CE";"Mulungu/CE";2309102;0;0;0;22;0;203,27081;0;"SES";TRUE;0;0;0;18367;0;29;0;0;0
"121";2020-06-04;"Brazil";"CE";"Nova Olinda/CE";2309201;0;0;0;8;0;51,39737;0;"SES";TRUE;0;0;0;18376;0;0;0;0;0
"122";2020-06-04;"Brazil";"CE";"Nova Russas/CE";2309300;0;1;0;43;3,09329;133,01163;0,02326;"SES";TRUE;18387;0;0;18386;0;16;26;0;0
"123";2020-06-04;"Brazil";"CE";"Novo Oriente/CE";2309409;0;2;0;14;6,9913;48,93907;0,14286;"SES";TRUE;18387;0;0;18357;0;44;0;0;0
"124";2020-06-04;"Brazil";"CE";"Ocara/CE";2309458;0;6;0;121;23,34358;470,76217;0,04959;"SES";TRUE;18378;0;28;18373;39;6;20;28;39
"125";2020-06-04;"Brazil";"CE";"Orós/CE";2309508;0;0;0;48;0;224,01643;0;"SES";TRUE;0;0;0;18369;0;20;24;0;0
"126";2020-06-04;"Brazil";"CE";"Pacajus/CE";2309607;0;12;0;253;16,61981;350,40095;0,04743;"SES";TRUE;18381;29;24;18364;33;14;22;24;29
"127";2020-06-04;"Brazil";"CE";"Pacatuba/CE";2309706;0;34;0;567;40,75175;679,59536;0,05996;"SES";TRUE;18376;15;15;18357;32;13;19;26;30
"128";2020-06-04;"Brazil";"CE";"Pacoti/CE";2309805;0;2;0;43;16,31188;350,70549;0,04651;"SES";TRUE;18383;0;0;18375;0;20;27;0;0
"129";2020-06-04;"Brazil";"CE";"Pacujá/CE";2309904;0;0;0;16;0;244,91045;0;"SES";TRUE;0;0;0;18396;0;16;0;0;0
"130";2020-06-04;"Brazil";"CE";"Palhano/CE";2310001;0;2;0;12;21,30833;127,84999;0,16667;"SES";TRUE;18403;0;0;18393;0;10;0;0;0
"131";2020-06-04;"Brazil";"CE";"Palmácia/CE";2310100;0;2;0;73;15,01276;547,96577;0,0274;"SES";TRUE;18395;0;0;18393;0;4;15;19;0
"132";2020-06-04;"Brazil";"CE";"Paracuru/CE";2310209;0;12;0;176;34,21143;501,76759;0,06818;"SES";TRUE;18395;17;7;18366;38;23;29;31;35
"133";2020-06-04;"Brazil";"CE";"Paraipaba/CE";2310258;0;12;0;176;36,64794;537,50305;0,06818;"SES";TRUE;18397;18;12;18377;35;5;12;19;35
"134";2020-06-04;"Brazil";"CE";"Parambu/CE";2310308;0;6;0;69;19,03493;218,90168;0,08696;"SES";TRUE;18386;0;24;18386;0;24;26;29;0
"135";2020-06-04;"Brazil";"CE";"Paramoti/CE";2310407;0;1;0;29;8,17929;237,19941;0,03448;"SES";TRUE;18412;0;0;18389;0;21;25;0;0
"136";2020-06-04;"Brazil";"CE";"Pedra Branca/CE";2310506;0;4;0;50;9,24684;115,58556;0,08;"SES";TRUE;18369;0;0;18357;0;25;39;59;0
"137";2020-06-04;"Brazil";"CE";"Penaforte/CE";2310605;0;2;0;5;22,03371;55,08428;0,4;"SES";TRUE;18404;0;0;18400;0;0;0;0;0
"138";2020-06-04;"Brazil";"CE";"Pentecoste/CE";2310704;0;12;0;204;31,78724;540,38304;0,05882;"SES";TRUE;18383;32;20;18372;42;12;25;40;40
"139";2020-06-04;"Brazil";"CE";"Pereiro/CE";2310803;0;0;0;13;0;79,72037;0;"SES";TRUE;0;0;0;18371;0;29;0;0;0
"140";2020-06-04;"Brazil";"CE";"Pindoretama/CE";2310852;0;9;0;139;43,75942;675,83994;0,06475;"SES";TRUE;18375;0;20;18357;55;22;32;36;54
"141";2020-06-04;"Brazil";"CE";"Piquet Carneiro/CE";2310902;0;0;0;3;0;17,68972;0;"SES";TRUE;0;0;0;18400;0;0;0;0;0
"142";2020-06-04;"Brazil";"CE";"Pires Ferreira/CE";2310951;0;0;0;5;0;45,65793;0;"SES";TRUE;0;0;0;18392;0;0;0;0;0
"143";2020-06-04;"Brazil";"CE";"Poranga/CE";2311009;0;0;0;13;0;105,38262;0;"SES";TRUE;0;0;0;18382;0;30;0;0;0
"144";2020-06-04;"Brazil";"CE";"Porteiras/CE";2311108;0;1;0;2;6,66844;13,33689;0,5;"SES";TRUE;18397;0;0;18368;0;0;0;0;0
"145";2020-06-04;"Brazil";"CE";"Potengi/CE";2311207;0;0;0;16;0;144,86193;0;"SES";TRUE;0;0;0;18392;0;22;0;0;0
"146";2020-06-04;"Brazil";"CE";"Potiretama/CE";2311231;0;0;0;11;0;171,36626;0;"SES";TRUE;0;0;0;18371;0;44;0;0;0
"147";2020-06-04;"Brazil";"CE";"Quiterianópolis/CE";2311264;0;2;0;34;9,48587;161,25972;0,05882;"SES";TRUE;18402;0;0;18367;0;32;35;0;0
"148";2020-06-04;"Brazil";"CE";"Quixadá/CE";2311306;0;22;0;744;25,07751;848,07587;0,02957;"SES";TRUE;18382;29;29;18349;46;18;32;37;40
"149";2020-06-04;"Brazil";"CE";"Quixelô/CE";2311355;0;0;0;13;0;80,35604;0;"SES";TRUE;0;0;0;18376;0;39;0;0;0
"150";2020-06-04;"Brazil";"CE";"Quixeramobim/CE";2311405;0;13;0;329;16,03315;405,76207;0,03951;"SES";TRUE;18364;43;39;18357;39;17;26;32;33
"151";2020-06-04;"Brazil";"CE";"Quixeré/CE";2311504;0;3;0;73;13,54463;329,58599;0,0411;"SES";TRUE;18388;0;0;18362;0;30;40;52;0
"152";2020-06-04;"Brazil";"CE";"Redenção/CE";2311603;0;7;0;295;24,0939;1015,38567;0,02373;"SES";TRUE;18383;0;26;18367;43;15;23;30;34
"153";2020-06-04;"Brazil";"CE";"Reriutaba/CE";2311702;0;4;0;27;21,63215;146,01698;0,14815;"SES";TRUE;18390;0;0;18368;0;25;44;0;0
"154";2020-06-04;"Brazil";"CE";"Russas/CE";2311801;0;10;0;228;12,78871;291,58247;0,04386;"SES";TRUE;18375;40;17;18362;42;12;24;28;38
"155";2020-06-04;"Brazil";"CE";"Saboeiro/CE";2311900;0;0;0;7;0;44,25058;0;"SES";TRUE;0;0;0;18404;0;0;0;0;0
"156";2020-06-04;"Brazil";"CE";"Salitre/CE";2311959;0;1;0;6;6,04084;36,24502;0,16667;"SES";TRUE;18367;0;0;18367;0;0;0;0;0
"157";2020-06-04;"Brazil";"CE";"Santa Quitéria/CE";2312205;0;8;0;199;18,30538;455,34631;0,0402;"SES";TRUE;18352;0;54;18352;60;34;45;45;60
